Title,Author,Rating,Reviews,Publication Date,URL,Genre,Reviews_Count
Katabasis,R.F. Kuang,4.01,"6,479 reviews","First published August 26, 2025",https://www.goodreads.com/book/show/210223811-katabasis,fiction,6479.0
The Secret Book Society,Madeline Martin,4.23,519 reviews,"First published August 26, 2025",https://www.goodreads.com/book/show/222850723-the-secret-book-society,fiction,519.0
The Hounding,Xenobe Purvis,3.73,"1,218 reviews","First published August 5, 2025",https://www.goodreads.com/book/show/217388147-the-hounding,fiction,1218.0
The Society of Unknowable Objects,Gareth Brown,4.0,940 reviews,"First published August 12, 2025",https://www.goodreads.com/book/show/227848751-the-society-of-unknowable-objects,fiction,940.0
High Season,Katie Bishop,3.84,567 reviews,"First published August 12, 2025",https://www.goodreads.com/book/show/217388179-high-season,fiction,567.0
The Possession of Alba Díaz,Isabel Cañas,4.04,683 reviews,"First published August 19, 2025",https://www.goodreads.com/book/show/221502398-the-possession-of-alba-d-az,fiction,683.0
The Magician of Tiger Castle,Louis Sachar,3.61,574 reviews,"First published August 5, 2025",https://www.goodreads.com/book/show/220999061-the-magician-of-tiger-castle,fiction,574.0
What Hunger,Catherine Dang,3.82,489 reviews,"First published August 12, 2025",https://www.goodreads.com/book/show/219445683-what-hunger,fiction,489.0
The Once and Future Me,Melissa Pace,3.79,337 reviews,"First published August 19, 2025",https://www.goodreads.com/book/show/217387959-the-once-and-future-me,fiction,337.0
I Know How This Ends,Holly Smale,4.22,258 reviews,"First published August 12, 2025",https://www.goodreads.com/book/show/218171611-i-know-how-this-ends,fiction,258.0
The Devil Reached Toward the Sky: An Oral History of the Making and Unleashing of the Atomic Bomb,Garrett M. Graff,4.59,58 reviews,"First published August 5, 2025",https://www.goodreads.com/book/show/220160123-the-devil-reached-toward-the-sky,science,58.0
The Martians: The True Story of an Alien Craze that Captured Turn-of-the-Century America,David Baron,4.01,30 reviews,"First published August 26, 2025",https://www.goodreads.com/book/show/218569819-the-martians,science,30.0
The Call of the Honeyguide: What Science Tells Us about How to Live Well with the Rest of Life,Rob Dunn,4.71,3 reviews,"First published August 26, 2025",https://www.goodreads.com/book/show/222139804-the-call-of-the-honeyguide,science,3.0
Prove It: A Scientific Guide for the Post-Truth Era,Elizabeth Finkel,4.67,2 reviews,"First published August 12, 2025",https://www.goodreads.com/book/show/239788869-prove-it,science,2.0
Algospeak: How Social Media Is Transforming the Future of Language,Adam Aleksic,3.96,438 reviews,"First published July 15, 2025",https://www.goodreads.com/book/show/220458608-algospeak,science,438.0
"Dinner with King Tut: How Rogue Archaeologists Are Re-creating the Sights, Sounds, Smells, and Tastes of Lost Civilizations",Sam Kean,4.13,150 reviews,"First published July 8, 2025",https://www.goodreads.com/book/show/221179212-dinner-with-king-tut,science,150.0
Strata: Stories from Deep Time,Laura Poppick,4.3,21 reviews,"First published July 15, 2025",https://www.goodreads.com/book/show/218569829-strata,science,21.0
A Year with the Seals: Unlocking the Secrets of the Sea's Most Charismatic and Controversial Creatures,Alix Morris,4.34,26 reviews,"First published July 10, 2025",https://www.goodreads.com/book/show/221179307-a-year-with-the-seals,science,26.0
Death by Astonishment: Confronting the Mystery of the World's Strangest Drug,Andrew R. Gallimore,4.39,11 reviews,"First published July 1, 2025",https://www.goodreads.com/book/show/217387677-death-by-astonishment,science,11.0
We Are Eating the Earth: The Race to Fix Our Food System and Save Our Climate,Michael Grunwald,4.26,29 reviews,"First published July 1, 2025",https://www.goodreads.com/book/show/220595471-we-are-eating-the-earth,science,29.0
